epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,9511.08,0.50872,0.44004,0.82254,0.98906,0.98861,0.99485,0.90936,0.42544,0.36326,0.86776,0.00050606,0.00050606,0.00050606
57,9769.7,0.48556,0.42065,0.82442,0.99672,0.98237,0.99434,0.91336,0.39573,0.35782,0.86497,0.000495062,0.000495062,0.000495062
58,9984.77,0.46357,0.41228,0.81232,0.98944,0.98135,0.994,0.904,0.42367,0.35981,0.85897,0.000484063,0.000484063,0.000484063
59,10218.5,0.46634,0.40946,0.81256,0.99302,0.98861,0.99466,0.90897,0.4283,0.36771,0.86233,0.000473064,0.000473064,0.000473064
60,10405.5,0.48088,0.41924,0.8117,0.9936,0.9891,0.99466,0.90505,0.4222,0.36441,0.86244,0.000462065,0.000462065,0.000462065
61,10589.6,0.44594,0.40126,0.80452,0.99381,0.98588,0.99463,0.8993,0.44925,0.36175,0.85757,0.000451066,0.000451066,0.000451066
62,10752.2,0.48986,0.4102,0.81103,0.99246,0.99061,0.99466,0.89257,0.426,0.358,0.85896,0.000440067,0.000440067,0.000440067
63,10892.4,0.49069,0.41259,0.80795,0.99198,0.98989,0.99466,0.91122,0.3998,0.34721,0.86003,0.000429068,0.000429068,0.000429068
64,11035.8,0.47287,0.40309,0.7985,0.99452,0.98546,0.99463,0.91662,0.39172,0.34455,0.85697,0.000418069,0.000418069,0.000418069
65,11189,0.45628,0.39389,0.80096,0.99001,0.99853,0.99498,0.92241,0.3891,0.34504,0.85857,0.00040707,0.00040707,0.00040707
66,11329.7,0.45461,0.40033,0.8079,0.99471,0.98958,0.99466,0.9164,0.3803,0.34008,0.85963,0.000396071,0.000396071,0.000396071
